Factor,Projected Return,Std Error,CI Lower (Normality),CI Upper (Normality)
Alt Commodities,0.00333273,0.017370233159056902,-0.030712301394814935,0.03737776139481493
Fixed Duration,0.002501812,0.004669047011971501,-0.006649351985588497,0.011652975985588496
Emerging Markets,0.001179442,0.0035355339059327377,-0.005750077121748389,0.008108961121748389
Alt Trend,0.011134055,0.012188970424117044,-0.012755888039893314,0.03502399803989331
US Dollar,-0.000679399,0.013966674622113885,-0.028053578243132784,0.026694780243132783
Equity Quality,0.000112025,0.014128446482186214,-0.0275792212625866,0.027803271262586603
Equity Market,0.005092053,0.0020493901531919195,0.0010753221094728137,0.009108783890527185
Equity SmallCap,0.00525632,0.011843521435789272,-0.017956555464275083,0.028469195464275086
Alt HF Crowding,-0.006345844,0.02621026516462586,-0.05771701974791148,0.045025331747911485
Fixed Credit,0.001172292,0.008342661445845685,-0.015179023969068397,0.017523607969068395
Equity Momentum,0.003250463,0.03454207579170655,-0.06445076150299772,0.07095168750299771
Equity Value,6.6e-05,0.012341434276452635,-0.024122766699415307,0.024254766699415307
Alt Oil,0.007157163,0.024201797453908252,-0.040277488370793355,0.05459181437079336
